# CONTENU PROVISOIRE — jeu de données de démonstration (commande "seed --demo", Development
# uniquement, voir CLAUDE.md et DemoDataSeeder). Sera remplacé par le contenu normatif
# définitif rédigé pour docs/specs/modele-donnees.md. Ne jamais confondre avec
# MAAT.Infrastructure/Seed/questions.csv : codes préfixés "DEMO-", is_active=false pour
# qu'aucune de ces questions n'apparaisse jamais dans un questionnaire réel.
# Répartition cible : Environmental 11, Social 11, Ethics 8, Procurement 7, Governance 8.
code,domain,text,help_text,weight,display_order,vsme_ref,iso_ref,gri_ref,ecovadis_ref,is_active
DEMO-ETH-06,Ethics,Encadrez-vous la gestion des conflits d'intérêts ?,,1.00,6,,,,,false
DEMO-ETH-07,Ethics,Veillez-vous au respect des règles de concurrence loyale ?,,1.00,7,,,,,false
DEMO-ETH-08,Ethics,Encadrez-vous vos pratiques publicitaires et marketing par des règles éthiques ?,,1.00,8,,,,,false
DEMO-ACH-01,Procurement,Intégrez-vous des critères RSE dans le choix de vos fournisseurs ?,,1.00,1,,,,,false
DEMO-ACH-02,Procurement,Évaluez-vous régulièrement vos fournisseurs sur des critères RSE ?,,1.00,2,,,,,false
DEMO-ACH-03,Procurement,Privilégiez-vous les circuits courts ou les fournisseurs locaux ?,,1.00,3,,,,,false
DEMO-ACH-04,Procurement,Intégrez-vous des clauses sociales dans vos contrats d'achat ?,,1.00,4,,,,,false
DEMO-ACH-05,Procurement,Faites-vous appel à des fournisseurs du secteur adapté ou de l'ESS ?,,1.00,5,,,,,false
DEMO-ACH-06,Procurement,Respectez-vous des délais de paiement raisonnables envers vos fournisseurs ?,,1.00,6,,,,,false
DEMO-ACH-07,Procurement,Cartographiez-vous les risques RSE de votre chaîne d'approvisionnement ?,,1.00,7,,,,,false
DEMO-GOUV-01,Governance,Avez-vous formalisé une stratégie RSE ?,,1.00,1,,,,,false
DEMO-GOUV-02,Governance,Disposez-vous d'un comité ou d'un référent RSE ?,,1.00,2,,,,,false
DEMO-GOUV-03,Governance,"Publiez-vous un reporting extra-financier, même simplifié ?",,1.00,3,,,,,false
DEMO-GOUV-04,Governance,Réalisez-vous une cartographie des risques RSE de votre entreprise ?,,1.00,4,,,,,false
DEMO-GOUV-05,Governance,Disposez-vous d'un plan de continuité d'activité ?,,1.00,5,,,,,false
DEMO-GOUV-06,Governance,Vos instances de direction comptent-elles des femmes ?,,1.00,6,,,,,false
DEMO-GOUV-07,Governance,"Disposez-vous d'une politique de conformité globale (anti-corruption, RGPD, etc.) ?",,1.00,7,,,,,false
DEMO-GOUV-08,Governance,Communiquez-vous votre démarche RSE à vos parties prenantes ?,,1.00,8,,,,,false
