code,domain,action_text,detail_text,impact_points,effort_level,trigger_question_code,trigger_max_value,is_active
REC-SOC-03,Social,"Tenir un échange annuel avec chaque salarié, agenda en main","Bloquez les créneaux à l'avance sur l'année plutôt que d'attendre le bon moment, qui n'arrive pas. Une demi-heure par personne, trois questions préparées : ce qui se passe bien, ce qui gêne, ce que la personne aimerait apprendre. Notez deux lignes et ce qui a été décidé. Ce qui décrédibilise l'exercice n'est pas sa brièveté, c'est l'absence de suite donnée à ce qui s'y dit.",3.64,High,SOC-03,3,true
REC-SOC-04,Social,Recenser les besoins de formation et en financer un par an,"Demandez à chaque salarié, lors d'un échange ou par écrit, ce qu'il aurait besoin d'apprendre pour mieux tenir son poste ou évoluer. Retenez-en un par an et faites-le, même court. Votre opérateur de compétences finance une part de ces actions et connaît les dispositifs applicables à votre secteur : un rendez-vous suffit à savoir ce à quoi vous avez droit.",5.45,High,SOC-04,3,true
REC-SOC-05,Social,Écrire les critères d'un recrutement avant de recevoir les candidats,"Avant la première rencontre, notez les compétences attendues et ce qui départagera deux profils proches. Faites de même pour une promotion. L'exercice prend vingt minutes et change la décision : il empêche de choisir sur l'impression, et vous permet d'expliquer votre choix à celui qui ne l'obtient pas. C'est la seule protection réelle contre une discrimination involontaire, et elle ne coûte rien.",5.45,Low,SOC-05,3,true
REC-SOC-06,Social,Réserver un point d'organisation dans une réunion existante,"Ajoutez à une réunion que vous tenez déjà un temps où la parole porte sur la manière de travailler, et non sur les tâches à faire : ce qui fait perdre du temps, ce qui manque, ce qui pourrait être simplifié. Un quart d'heure suffit. Notez ce qui remonte et dites à la réunion suivante ce que vous en avez fait, y compris quand la réponse est non.",3.64,Low,SOC-06,3,true
REC-SOC-07,Social,"Désigner un interlocuteur et l'annoncer, avant qu'un problème survienne","Indiquez par écrit vers qui se tourner en cas de harcèlement ou de comportement déplacé, et prévoyez une seconde voie — un autre responsable, le médecin du travail, l'inspection du travail — pour le cas où c'est la première personne qui est en cause. Affichez-le là où les salariés le verront. La difficulté n'est pas d'écrire le document, c'est de l'annoncer clairement une fois qu'il existe.",3.64,Low,SOC-07,3,true
REC-SOC-08,Social,Faire du service de santé au travail votre interlocuteur d'aménagement,"Vous cotisez déjà à un service de santé au travail : ses équipes se déplacent pour étudier un poste et proposer des aménagements, et connaissent les aides mobilisables. Appelez-les lorsqu'un salarié signale une gêne durable, sans attendre l'arrêt. Faites savoir à vos équipes qu'une demande d'aménagement est possible et à qui l'adresser : c'est ce qui manque le plus souvent, avant la solution technique.",3.64,Medium,SOC-08,3,true
REC-SOC-09,Social,Fixer une règle commune pour les demandes d'aménagement d'horaires,"Décidez comment une demande se formule, à qui elle s'adresse et sous quel délai vous répondez, puis dites-le à tout le monde. Ce qui crée un sentiment d'injustice n'est pas le refus, c'est l'arrangement obtenu par certains et ignoré des autres. Une règle connue vous permet aussi de refuser sans que ce soit lu comme un traitement de faveur inversé.",1.82,Low,SOC-09,3,true
REC-SOC-10,Social,Regarder une fois par an la place des contrats courts dans votre activité,"À la clôture, listez les contrats courts et missions d'intérim de l'année et regardez lesquels ont porté sur le même besoin plusieurs fois. Un poste couvert en permanence par des contrats successifs est un poste de travail, avec un coût supérieur à celui d'une embauche et une perte de savoir-faire à chaque rotation. Une heure d'examen peut changer une décision d'organisation.",1.82,Low,SOC-10,3,true
REC-SOC-11,Social,Mettre par écrit ce qui détermine les salaires et les primes,"Notez sur une page comment se construit une rémunération dans votre entreprise : ce qui fixe le salaire de base, ce qui déclenche une prime, quand les augmentations sont examinées. Vous n'êtes pas tenu de publier les montants individuels. Ce qui alimente les soupçons d'inégalité n'est pas l'écart lui-même, c'est l'absence de règle permettant de savoir d'où il vient.",1.82,Medium,SOC-11,3,true
REC-GOV-01,Governance,"Confier le suivi RSE à une personne, avec un temps identifié","Désignez quelqu'un — un salarié volontaire ou vous-même — et écrivez sa mission en trois lignes : suivre les sujets, préparer le point annuel, répondre aux questionnaires clients. Annoncez-le en réunion, sinon la désignation n'existe que sur le papier. Réservez un temps explicite, une demi-journée par mois suffit au départ. Sans temps alloué, la mission cède devant l'urgence dès la première semaine chargée.",7.50,Medium,GOV-01,3,true
REC-GOV-02,Governance,Choisir deux ou trois enjeux prioritaires en une réunion,"Réunissez deux ou trois personnes et posez une seule question : parmi l'environnement, les conditions de travail, les pratiques d'achat et la relation client, qu'est-ce qui pèse le plus dans notre métier et sur quoi nous attend-on ? Retenez trois sujets, écrivez-les, arrêtez-vous là. Une entreprise qui traite tout en même temps n'avance sur rien, et ne sait pas répondre quand on lui demande ses priorités.",7.50,Low,GOV-02,3,true
REC-GOV-03,Governance,Poser la question à vos équipes dans une réunion existante,"N'organisez pas une réunion dédiée : ajoutez un quart d'heure à une réunion qui existe déjà et demandez ce qui pourrait être amélioré en matière d'environnement, de conditions de travail ou de relation client. Notez ce qui remonte. Revenez-y à la réunion suivante pour dire ce que vous en avez fait, y compris quand la réponse est non — c'est cette seconde partie qui décide si on vous reparlera.",5.00,Low,GOV-03,3,true
REC-GOV-04,Governance,Inscrire un point d'avancement à date fixe,"Ajoutez un point à l'ordre du jour d'une réunion de direction déjà planifiée, une à deux fois par an : où en sont les actions engagées, lesquelles sont terminées, lesquelles n'ont pas bougé et pourquoi. Une demi-heure suffit. Ce qui distingue une démarche suivie d'une démarche affichée n'est pas le nombre d'actions, c'est l'existence d'un moment où l'on constate ce qui n'a pas avancé.",5.00,Low,GOV-04,3,true
REC-GOV-05,Governance,Publier une page datée plutôt qu'un discours général,"Remplacez les formules d'intention par une page qui dit ce que vous avez fait cette année, avec des dates et deux ou trois chiffres que vous pouvez justifier sur demande. Une affirmation invérifiable se retourne contre vous dès qu'un client la creuse, et l'écart entre le discours et le justificatif est précisément ce qu'un acheteur cherche. Mieux vaut une page modeste et exacte qu'une plaquette ambitieuse.",5.00,Medium,GOV-05,3,true
REC-GOV-06,Governance,Vous abonner à la veille de votre fédération professionnelle,"Votre fédération, votre chambre consulaire ou votre expert-comptable diffusent des notes sur les évolutions qui touchent votre secteur. Abonnez-vous, et désignez qui les lit — une source que personne ne consulte ne vaut pas mieux que pas de source. Notez les deux ou trois échéances qui vous concernent dans l'année à venir : c'est ce qui évite de découvrir une obligation par un client ou un contrôle.",5.00,Low,GOV-06,3,true
REC-GOV-07,Governance,Élargir le vivier avant la prochaine nomination,"Au moment d'ouvrir un poste de responsabilité, écrivez d'abord les compétences attendues, puis cherchez au-delà du cercle habituel : réseau professionnel, candidatures internes sollicitées explicitement, annonce plutôt que cooptation. La composition d'une équipe dirigeante se joue au moment du recrutement, pas après ; une entreprise qui ne recrute que par recommandation reproduit mécaniquement sa propre composition.",2.50,Medium,GOV-07,3,true
REC-GOV-08,Governance,Ajouter deux questions à vos décisions d'investissement,"Avant un achat important — véhicule, machine, aménagement, logiciel — posez deux questions écrites : quelle consommation ou quel déchet cela engendre-t-il sur sa durée de vie, et qu'est-ce que cela change pour ceux qui l'utiliseront ? Le coût d'usage sur plusieurs années départage souvent différemment du prix d'achat, et l'arbitrage devient explicable à ceux qui le subissent.",2.50,Low,GOV-08,3,true
REC-ETH-01,Ethics,Écrire en dix lignes votre règle sur les cadeaux,"Fixez ce qui est acceptable et ce qui ne l'est pas : un repas d'affaires oui, un cadeau au-delà d'un montant que vous choisissez non, tout avantage lié à une décision d'achat en cours jamais. Nommez un seuil chiffré, sinon la règle ne tranche rien. Diffusez-la aux personnes en contact avec des fournisseurs ou des clients : ce sont elles qui reçoivent les sollicitations, pas la direction.",5.00,Low,ETH-01,3,true
REC-ETH-02,Ethics,Désigner et annoncer un point d'entrée pour les signalements,"Indiquez par écrit à qui s'adresser pour signaler une fraude, un conflit d'intérêts ou un manquement aux règles, et sous quel délai une réponse est apportée. Prévoyez une seconde voie si la personne désignée est concernée. Dans une petite structure, ce peut être le dirigeant, à condition que ce soit dit explicitement : un dispositif que personne ne connaît ne sera jamais utilisé.",5.00,Low,ETH-02,3,true
REC-ETH-03,Ethics,Inventorier vos fichiers de données personnelles,"Listez sur une page où sont stockées les données de vos clients, prospects et salariés : logiciel de gestion, messagerie, tableurs, sauvegardes. Pour chaque fichier, notez qui y accède et combien de temps vous conservez les données. Comptez une demi-journée. C'est le préalable de toute conformité au RGPD, et la première chose qu'un client demande dans un questionnaire fournisseur.",7.50,Medium,ETH-03,3,true
REC-ETH-04,Ethics,Écrire dans vos devis ce qui n'est pas compris,"Ajoutez à votre modèle de devis une rubrique listant explicitement les exclusions, les conditions et les limites de la prestation. La plupart des litiges ne portent pas sur ce qui a été promis mais sur ce que le client croyait inclus. La modification se fait une fois sur le modèle et sert ensuite à chaque affaire, sans travail supplémentaire.",5.00,Low,ETH-04,3,true
REC-ETH-05,Ethics,Consigner les réclamations dans un tableau unique,"Ouvrez un tableau à quatre colonnes : date, client, objet, suite donnée. Demandez que toute réclamation y soit inscrite, qu'elle arrive par téléphone, par courriel ou de vive voix. Relisez-le une fois par an. L'intérêt n'est pas le suivi individuel, que vous faites déjà, mais la répétition : trois réclamations sur le même sujet désignent un problème d'organisation.",2.50,Low,ETH-05,3,true
REC-ETH-06,Ethics,Vérifier que vous sauriez retrouver les clients concernés,"Prenez une livraison ou une prestation des six derniers mois et vérifiez concrètement que vous pouvez retrouver qui en a bénéficié, à partir de vos documents habituels. Notez la marche à suivre et qui prévenir en cas de défaut. C'est un exercice d'une heure, et c'est le seul moyen de savoir si votre traçabilité tient avant d'en avoir besoin dans l'urgence.",7.50,Medium,ETH-06,3,true
REC-ETH-07,Ethics,Dire à vos commerciaux ce qui est interdit avec un concurrent,"Expliquez en réunion ce qui ne se discute jamais avec une entreprise concurrente : prix pratiqués, répartition de clients ou de zones, intention de répondre ou non à un appel d'offres. Les rencontres en fédération professionnelle sont le contexte le plus courant, et le plus mal identifié. Les personnes exposées sont vos commerciaux et vous-même, pas l'ensemble des salariés.",5.00,Low,ETH-07,3,true
REC-ETH-08,Ethics,Faire l'inventaire de vos licences et droits d'usage,"Listez les logiciels installés sur vos postes, les polices et images utilisées sur vos supports et la musique éventuellement diffusée dans vos locaux, puis vérifiez que chacun est couvert par une licence à votre nom. Conservez les justificatifs au même endroit. Le sujet reste invisible jusqu'au jour où un ayant droit se manifeste, et la régularisation coûte alors bien davantage.",2.50,Medium,ETH-08,3,true
REC-PRO-01,Procurement,Lister vos vingt premiers fournisseurs par montant,"Sortez de votre comptabilité le classement des fournisseurs par montant annuel et gardez les vingt premiers. Ajoutez à la main ceux qui pèsent peu mais dont l'arrêt vous bloquerait. Une heure suffit. Cette liste conditionne tout le reste : sans elle, une exigence adressée à l'ensemble de vos fournisseurs se dilue, alors qu'appliquée à vingt noms elle produit un effet réel.",8.57,Low,PRO-01,3,true
REC-PRO-02,Procurement,Ajouter deux questions à vos consultations,"Lors de votre prochaine mise en concurrence, ajoutez deux questions simples : disposez-vous d'une certification ou d'une évaluation environnementale, et quelles mesures avez-vous prises sur les conditions de travail ? Décidez à l'avance du poids que la réponse aura dans votre choix, même faible. Une question posée sans conséquence sur la décision n'est pas un critère, et vos fournisseurs le remarquent vite.",8.57,High,PRO-02,3,true
REC-PRO-03,Procurement,Annexer une charte d'une page à vos commandes,"Rédigez une page énonçant ce que vous attendez de vos fournisseurs : respect du droit du travail, absence de travail dissimulé, gestion des déchets, information en cas d'incident. Annexez-la à vos conditions d'achat plutôt que de la faire signer séparément, sinon elle ne sera jamais retournée. Le document se rédige une fois et s'applique ensuite à toutes vos commandes.",5.71,Medium,PRO-03,3,true
REC-PRO-04,Procurement,Aller voir un prestataire sur place une fois par an,"Choisissez chaque année un prestataire parmi ceux qui interviennent le plus pour vous et allez voir comment le travail s'y fait : équipements, horaires réels, hébergement le cas échéant. Les attestations obligatoires prouvent une situation administrative, pas des conditions de travail. Une visite annuelle change aussi la relation commerciale, et repère les difficultés avant qu'elles ne deviennent votre problème.",5.71,Medium,PRO-04,3,true
REC-PRO-05,Procurement,Calculer votre délai moyen de paiement à la clôture,"Demandez à votre comptable le délai moyen de règlement fournisseurs de l'exercice, et comparez-le aux délais contractuels. L'opération est immédiate à partir de la balance âgée. Payer en retard revient à transférer une difficulté de trésorerie à plus petit que soi, et c'est le seul sujet du diagnostic sur lequel vos propres fournisseurs vous évaluent — souvent avant de vous accorder une priorité.",5.71,Low,PRO-05,3,true
REC-PRO-06,Procurement,Chercher une alternative proche au prochain renouvellement,"À la prochaine mise en concurrence, consultez au moins un fournisseur implanté à proximité, même si vous ne le retenez pas. Vous saurez ainsi si l'alternative existe et à quel écart de prix. La proximité réduit les émissions de transport et les délais, et raccourcit les échanges quand un problème survient — trois arguments qui ne sont pas seulement environnementaux.",2.86,Medium,PRO-06,3,true
REC-PRO-07,Procurement,Consulter une entreprise adaptée sur une prestation support,"Pour l'entretien des locaux, les espaces verts, la logistique ou le conditionnement, demandez un devis à une entreprise adaptée, un ESAT ou une structure d'insertion de votre département. Le réseau se trouve auprès de votre chambre consulaire. La démarche vous coûte un appel d'offres de plus, et vous donne une réponse factuelle plutôt qu'une supposition sur ce que ces structures savent faire.",2.86,Low,PRO-07,3,true
