code,domain,text,help_text,weight,display_order,vsme_ref,iso_ref,gri_ref,ecovadis_ref,is_active
GOV-05,Governance,Communiquez-vous à l'extérieur sur ce que vous faites en matière d'environnement et de conditions de travail ?,"Site internet, plaquette, réponse à un questionnaire client ou publication d'un rapport : tous les supports comptent. Ce qui distingue les niveaux est la vérifiabilité de ce que vous affirmez. 0 — aucune communication. 3 — des affirmations générales sont diffusées, sans chiffre ni date. 5 — la communication s'appuie sur des données datées que vous pouvez justifier sur demande.",2.00,5,B1,6.2,2,,true
GOV-06,Governance,Savez-vous quelles obligations environnementales et sociales s'appliquent à votre activité ?,"Cela peut passer par votre fédération professionnelle, votre expert-comptable, un cabinet ou une veille interne. La question porte sur l'existence d'une source suivie sur ces sujets précis, pas sur une expertise juridique générale. 0 — vous découvrez ces obligations quand un tiers vous les signale. 3 — une source existe mais n'est consultée qu'en cas de besoin. 5 — la veille est régulière et les changements donnent lieu à des actions.",2.00,6,B2,6.2,,,true
GOV-07,Governance,La mixité est-elle prise en compte dans la composition de votre équipe dirigeante ?,"On parle des personnes qui décident : direction, associés, comité de direction s'il existe. La question porte sur l'attention portée à l'équilibre, pas sur un quota ni sur un décompte. 0 — le sujet n'a jamais été considéré. 3 — il est reconnu comme un enjeu, sans traduction dans les nominations. 5 — il est pris en compte lors des nominations et la composition actuelle le reflète.",1.00,7,C9,6.2,405,,true
GOV-08,Governance,"Avant un investissement important, en examinez-vous les conséquences pour l'environnement et pour vos salariés ?","On vise l'achat d'un véhicule ou d'une machine, l'aménagement d'un local, le choix d'un logiciel : le moment où un critère autre que le prix peut peser. 0 — seuls le prix et la performance technique sont regardés. 3 — le critère est évoqué mais cède systématiquement. 5 — il est formalisé dans vos décisions et a déjà modifié un choix.",1.00,8,B2,6.2,,,true
ETH-01,Ethics,Existe-t-il une règle écrite sur les cadeaux et invitations que vos équipes peuvent accepter ou offrir ?,"On vise les repas, invitations, cadeaux de fin d'année et facilités accordées ou reçues dans un cadre professionnel. Une règle simple, écrite et connue vaut mieux qu'un principe implicite. 0 — aucune règle n'existe, chacun apprécie. 3 — un principe est énoncé oralement, sans seuil ni cas concret. 5 — la règle est écrite, précise sur les seuils, et rappelée aux personnes exposées.",2.00,1,B11,6.6.3,205,,true
ETH-02,Ethics,Vos salariés savent-ils à qui s'adresser pour signaler une situation anormale ?,"Il s'agit d'un point d'entrée connu pour signaler une fraude, un conflit d'intérêts ou un comportement contraire aux règles. Dans une PME, ce peut être le dirigeant lui-même, à condition que ce soit dit. 0 — rien n'est prévu ni annoncé. 3 — un interlocuteur existe en pratique, sans que ce soit formalisé ni la confidentialité assurée. 5 — le circuit est écrit, connu de tous, et le traitement du signalement est défini.",2.00,2,,6.6.3,2,,true
ETH-03,Ethics,Savez-vous quelles données personnelles votre entreprise détient et combien de temps elle les conserve ?,"Cela couvre les données de vos clients, de vos salariés et de vos prospects : où elles sont stockées, qui y accède, jusqu'à quand vous les gardez. C'est le préalable de toute conformité au RGPD. 0 — la question n'a jamais été instruite. 3 — les principaux fichiers sont connus, sans durée de conservation définie. 5 — un inventaire existe, il est tenu à jour et les durées sont fixées.",3.00,3,,6.7.7,418,,true
ETH-04,Ethics,"Vos clients disposent-ils, avant de s'engager, d'une information claire sur ce qui est inclus dans votre prestation ?","On vise le devis, le contrat et les documents commerciaux : ce qui est compris dans le prix, ce qui ne l'est pas, les délais, les conditions et les limites. L'enjeu est que le client ne découvre rien après la signature. 0 — l'information reste orale et varie d'une affaire à l'autre. 3 — les documents décrivent la prestation mais laissent des zones floues sur les exclusions ou les conditions. 5 — inclusions, exclusions et conditions sont écrites et remises avant tout engagement.",2.00,4,,6.7.3,417,,true
ETH-05,Ethics,Les réclamations de vos clients suivent-elles un circuit défini ?,"Une réclamation peut arriver par téléphone, par courriel ou de vive voix. La question porte sur le fait qu'elle suive un chemin connu, plutôt que de dépendre de la personne qui la reçoit. 0 — chacun traite comme il peut, rien n'est consigné. 3 — les réclamations sont traitées mais ne sont ni tracées ni réexaminées ensuite. 5 — le circuit est défini, elles sont consignées et relues périodiquement.",1.00,5,,6.7.6,,,true
ETH-06,Ethics,Sauriez-vous réagir rapidement si un défaut était détecté sur ce que vous avez livré ?,"On vise votre capacité à retrouver les clients concernés et à les prévenir si un produit livré ou une prestation réalisée présentait un défaut affectant la sécurité ou l'usage. 0 — rien n'est prévu, la réaction s'improviserait. 3 — vous sauriez qui prévenir, sans pouvoir identifier rapidement les clients concernés. 5 — la marche à suivre est écrite et la traçabilité permet de remonter aux clients.",3.00,6,,6.7.4,416,,true
ETH-07,Ethics,Vos équipes commerciales connaissent-elles les règles à respecter vis-à-vis de vos concurrents ?,"Il s'agit de ce qui encadre les échanges entre entreprises concurrentes : prix, répartition de marchés, réponses concertées à un appel d'offres. Les rencontres en fédération professionnelle sont le cas le plus fréquent. 0 — le sujet n'a jamais été abordé en interne. 3 — le dirigeant connaît les règles, sans que les personnes exposées en aient été informées. 5 — elles l'ont été explicitement et savent ce qui est interdit.",2.00,7,,6.6.5,206,,true
ETH-08,Ethics,Vérifiez-vous que les logiciels et contenus que vous utilisez sont couverts par une licence ?,"On vise les logiciels installés, les polices et images utilisées sur vos supports, la musique diffusée dans vos locaux et les contenus repris à d'autres. Le sujet est peu visible tant que rien n'arrive, et coûteux quand un ayant droit se manifeste. 0 — la question n'a jamais été posée. 3 — les logiciels principaux sont sous licence, mais les contenus ne sont pas vérifiés. 5 — licences et droits d'usage sont vérifiés et les justificatifs conservés.",1.00,8,,6.6.7,,,true
PRO-01,Procurement,Avez-vous identifié les fournisseurs les plus importants pour votre activité ?,"Il s'agit de savoir lesquels pèsent le plus, par le montant ou parce qu'une défaillance de leur part vous arrêterait. Une liste tenue à jour de quelques noms suffit, il n'est pas question de cartographier l'ensemble de vos achats. 0 — aucune liste, aucune hiérarchie. 3 — les noms sont connus du dirigeant, sans que rien ne soit écrit ni partagé. 5 — la liste est écrite, hiérarchisée et revue périodiquement.",3.00,1,,6.6.6,2,,true
PRO-02,Procurement,Les pratiques environnementales et sociales d'un fournisseur pèsent-elles dans votre décision de le retenir ?,"On parle du moment où vous choisissez entre plusieurs offres. Le critère peut être une certification, une réponse à quelques questions, ou simplement ce que vous savez de l'entreprise. 0 — seuls le prix, le délai et la qualité sont regardés. 3 — le sujet est abordé quand l'occasion se présente, sans peser sur la décision. 5 — le critère est appliqué de façon constante et a déjà écarté ou départagé une offre.",3.00,2,,6.6.6,308,,true
PRO-03,Procurement,Vos commandes ou vos contrats comportent-ils des engagements environnementaux et sociaux attendus de vos fournisseurs ?,"Une clause dans vos conditions d'achat, une charte annexée à la commande ou un paragraphe dans le contrat comptent. La question porte sur ce que vous écrivez, pas sur ce que vous contrôlez ensuite. 0 — aucun document ne mentionne ces sujets. 3 — un texte existe mais n'est joint qu'à certaines commandes, ou jamais signé. 5 — l'engagement est intégré à vos documents d'achat et systématiquement transmis.",2.00,3,,6.6.6,414,,true
PRO-04,Procurement,Vous assurez-vous des conditions de travail chez les prestataires qui interviennent pour vous ?,"On vise les sous-traitants, intérimaires et prestataires présents sur vos sites ou travaillant pour votre compte : régularité de leur situation, sécurité, hébergement le cas échéant. 0 — le sujet n'est jamais abordé. 3 — les attestations obligatoires sont collectées, sans autre vérification. 5 — au-delà des attestations, vous vous assurez des conditions réelles, par des visites ou des échanges directs.",2.00,4,C6,6.6.6,414,,true
PRO-05,Procurement,Suivez-vous le respect de vos délais de paiement fournisseurs ?,"La question porte sur le suivi de vos propres règlements : savoir si vous payez dans les délais convenus et de combien vous vous en écartez. Un point périodique sur la balance âgée, ou le délai moyen calculé une fois par an à la clôture, suffisent. 0 — les retards ne sont pas mesurés. 3 — ils sont constatés au cas par cas, sans indicateur suivi dans le temps. 5 — le délai moyen est suivi et les retards donnent lieu à un traitement.",2.00,5,,6.6.6,,,true
PRO-06,Procurement,Cherchez-vous à faire appel à des fournisseurs implantés près de chez vous ?,"Il s'agit de savoir si la proximité entre dans vos arbitrages, à qualité et prix comparables — pour les émissions de transport comme pour l'activité locale. 0 — la proximité n'entre jamais en compte. 3 — vous privilégiez le local quand cela se présente, sans démarche pour identifier des fournisseurs proches. 5 — vous recherchez activement des fournisseurs locaux et vous savez ce qu'ils représentent dans vos achats.",1.00,6,,6.8,204,,true
PRO-07,Procurement,Avez-vous déjà confié une prestation à une structure d'insertion ou du secteur du handicap ?,"Entreprises adaptées, ESAT et structures d'insertion par l'activité économique interviennent couramment sur l'entretien des locaux, les espaces verts, la logistique ou le conditionnement. Il ne s'agit pas de refaire vos achats, mais de savoir si cette possibilité a déjà été regardée pour un besoin où elle était réaliste. 0 — la possibilité n'a jamais été examinée. 3 — une prestation ponctuelle a eu lieu, sans suite donnée. 5 — le recours est établi et réexaminé à chaque besoin comparable.",1.00,7,,6.8,413,,true
